comune,codice,chiamate,covered,uncovered
San Nicola Manfredi,VERDE,146.9,True,0.0
San Nicola Manfredi,BIANCO,32.5,True,0.0
Sant'Agata De' Goti,ROSSO,50.0,True,0.0
Sant'Agata De' Goti,GIALLO,193.0,True,0.0
Sant'Agata De' Goti,VERDE,385.0,True,0.0
Sant'Agata De' Goti,BIANCO,139.0,True,0.0
Sant'Angelo A Cupolo,ROSSO,7.0,True,0.0
Sant'Angelo A Cupolo,GIALLO,17.0,True,0.0
Sant'Angelo A Cupolo,VERDE,56.0,True,0.0
Sant'Angelo A Cupolo,BIANCO,17.0,True,0.0
Sant'Arcangelo Trimonte,ROSSO,56.1,True,0.0
Sant'Arcangelo Trimonte,GIALLO,123.2,True,0.0
Sant'Arcangelo Trimonte,VERDE,141.9,True,0.0
Sant'Arcangelo Trimonte,BIANCO,36.3,True,0.0
Santa Croce Del Sannio,ROSSO,59.8,True,0.0
Santa Croce Del Sannio,GIALLO,101.4,True,0.0
Santa Croce Del Sannio,VERDE,84.5,True,0.0
Santa Croce Del Sannio,BIANCO,14.3,True,0.0
Sassinoro,ROSSO,48.1,True,0.0
Sassinoro,GIALLO,80.6,True,0.0
Sassinoro,VERDE,70.2,True,0.0
Sassinoro,BIANCO,14.3,True,0.0
Solopaca,ROSSO,22.0,True,0.0
Solopaca,GIALLO,71.5,True,0.0
Solopaca,VERDE,75.9,True,0.0
Solopaca,BIANCO,17.6,True,0.0
Telese Terme,ROSSO,29.7,True,0.0
Telese Terme,GIALLO,94.6,True,0.0
Telese Terme,VERDE,108.9,True,0.0
Telese Terme,BIANCO,25.3,True,0.0
Tocco Caudio,ROSSO,80.3,True,0.0
Tocco Caudio,GIALLO,181.5,True,0.0
Tocco Caudio,VERDE,183.7,True,0.0
Tocco Caudio,BIANCO,52.8,True,0.0
